Site,Name,Your Price,Savings
59033,CHICOUTIMI,2.236,0.713
59009,GATINEAU,2.3364,0.6626
59092,GRANBY,2.2683,0.6807
59035,LASSOMPTION,2.2473,0.6517
59034,LACHINE,2.236,0.663
59026,LAVAL,2.236,0.663
59036,MATAGAMI,2.4443,0.6547
59041,MATANE,2.2442,0.6548
59043,MONT-JOLI,2.2389,0.6601
59108,MONT-LAURIER,2.2883,0.6607
59045,NAPIERVILLE,2.2673,0.6817
59054,ROUYN-NORANDA,2.2947,0.6543
59055,SHERBROOKE,2.3029,0.6961
59061,ST JEAN-PORT JOLI,2.2606,0.6884
59064,ST LAURENT,2.2439,0.6551
59074,ST NICOLAS,2.2627,0.6863
59077,STE FOY,2.2451,0.6539
59081,STE JULIE,2.2489,0.6501
59075,STE EULALIE,2.2896,0.6594
59083,TROIS RIVIERES,2.3006,0.6484
59084,VAL DOR-EAST,2.2926,0.7064
59088,VANIER,2.2489,0.6501
56056,ASSINIBOIA,1.7842,0.5548
56011,BIGGAR,1.8012,0.5578
56012,CARLYLE,1.8015,0.5675
56066,CARNDUFF,1.8203,0.5587
56013,CARROT RIVER,1.817,0.552
56038,CHAPLIN,1.7787,0.5603
56067,CORMAN PARK,1.802,0.557
56014,EDAM,1.8279,0.5411
56015,ESTEVAN-4TH ST,1.7978,0.5712
56054,ESTEVAN-CARBON,1.8071,0.5619
56048,GRAVELBOURG,1.8099,0.5591
56058,GRENFELL,1.7829,0.5561
54054,BVD GRENFELL,1.7467,0.5923
56041,HUMBOLDT,1.8085,0.5605
56016,KINDERSLEY,1.8128,0.5562
56043,KIPLING,1.8149,0.5441
56017,LA RONGE,1.8372,0.5418
56018,LAMPMAN,1.7581,0.6009
56021,MAIDSTONE,1.8052,0.5638
56044,MANKOTA,1.8176,0.5614
56022,MAPLE CREEK,1.801,0.548
56024,MEADOW LAKE,1.825,0.554
56062,MELFORT,1.8266,0.5624
56026,MOOSE JAW,1.7495,0.5495
56009,N BATTLEFOR,1.802,0.587
56027,NORTH BATTLEFORD,1.8067,0.5623
56052,OXBOW,1.7993,0.5697
56028,PRINCE ALBERT,1.8077,0.5613
56262,RADVILLE,1.8135,0.5255
56055,RADVILLE,1.7614,0.5776
56031,REDVERS,1.8063,0.5727
56007,REGINA,1.7378,0.5612
56045,ROSETOWN,1.8045,0.5645
56008,SASKATOON-51ST ST,1.7546,0.5444
56032,SASKATOON-MELVILLE,1.7546,0.5444
56053,SHAUNAVON,1.8002,0.5688
56264,STOUGHTON,1.7518,0.5872
36382,STOUGHTON,1.7979,0.5411
56033,SWIFT CURRENT,1.7934,0.5456
56034,TISDALE,1.8163,0.5527
56035,UNITY,1.8102,0.5588
56057,WADENA,1.8125,0.5565
56036,WEYBURN,1.7772,0.5718
56037,YORKTON-HWY 16,1.7766,0.5224
57007,WATSON LAKE,1.866,0.533
57008,WHITEHORSE-ALASKA HWY,1.974,0.425
57011,WHITEHORSE-GALENA RD,1.9149,0.4841
